sentence1,sentence2
Alison has to always share with her little sister.,She doesn't like sharing her favorite toys with anyone.
She finally called them 5 minutes later.,She told them they are pregnant.
He was not that afraid anymore.,"However, he failed due to his slur of his words."
She moved into the crowd to see the parade.,Ella got separated from her father.
Joe ate some without really knowing.,The next day he decided to stop being vegan.
He found it very difficult to connect with his father.,Since his father smoked a tobacco pipe Jerry started collecting them.
He called the radio station.,The radio station hung up the phone.
She opened a bank account for me.,Now I can deposit my checks from work.
"Jan felt very sad about this, but accepted it.","On her birthday, Jan learned she would start dance lessons next week!"
When he gets to the cashier to pay for his stuff.,He can't find his wallet.
Amelia tried walking to school.,She walked under a tree for a short moment.
"On the dock, he set up some chairs and fishing poles.",They sat together as he taught her how to bait a hook.
It warmed her up.,She started feeling a little better.
He took his biggest hook and tied string to it.,He then swung it at people and dragged them towards him.
He runs around the neighborhood and barks at everyone.,Today he violently attacked a tire and wouldn't stop biting it.
He decided to try out for a select baseball team.,He went to many tryouts and played really hard.
Two guys behind Caleb broke into a fight.,One of the guys accidently hit Caleb in the face.
For some reason it wouldn't go down.,Tom went back to find out they botched his surgery.
At every hole people had drinks and ate food.,The person with the lowest score at the end won a trophy.
I ended up going to a sushi restaurant that I've been to before.,And I was surprised that the sushi chef there remembered who I was.
Max fed him and gave him a place to sleep.,Max decided to keep the puppy.
After consulting some friends she decides to get a haircut.,Heather finds a hairstylist and shows him the picture of the haircut.
Connor was hiking in the woods.,"After hours of walking, he began to feel tired."
Timmy had just moved to a new house.,"The neighbors came over with their son, Jimmy."
He greeted people when he arrived and shook a few hands.,His client was waiting for him and he reassured him.
Jan began studying her science class text book day and night.,At the end of the semester Jan finally got an A in her science class.
But her dress was a huge hit!,She actually got orders to make some for the following year.
He was desperate for money.,He took out a loan and went to Las Vegas.
John woke up late yesterday.,He had an important meeting to get to.
Stef didn't know what to do but she awkwardly sat with him.,After an hour she left and went straight to open a new bank account.
Her rendition of 'My Heart Will Go On' won her first place.,She decided to use the prize money to record a single.
He quickly realized he was out of his element.,He didn't do too well.
I saw my friend walking with a guy.,I was slightly jealous.
There was even a mating pair of horseshoe crabs.,"He laughed, the male looked like he was wearing a hat made of seaweed."
Summer was winding down.,The family went to the pool one more time.
Will was taking a stroll in his favorite park.,Will noticed a sound as he went around a bend in the path.
He said to himself that it was close enough.,"He ate the mint, quite content."
She moves into her sister's house.,Now Ricky lives alone and is happy.
It was silvery and glittery.,She fell in love with it.
I ordered Mac and cheese.,When I tasted it it was delicious and had to come back.
He's nervous about meeting new people and making friends.,Wednesday he met a girl named Jessie who asked to be his friend.
Sam built a cabin with materials from the land.,He was very proud of what he'd done.
"Finally, they were at the beach.",They walked along the sand and stared at the water.
I was riding my bike home.,And I decided to go through a neighborhood I was unfamiliar with.
Amy liked a boy in her class who had blond hair and blue eyes.,Amy was shy and did not know how to approach her crush.
The company showed up swiftly to fix the roof.,Now we have a brand new nice roof.
